,0
0,1.4743710059195756
1,1.4753535747279414
2,1.4757979585012426
3,1.4750143729531207
4,1.4745439571129155
5,1.4741412412773816
6,1.473788578222878
7,1.473149792574439
8,1.4722117686678657
9,1.470804961257055
10,1.4699710102148353
11,1.469650518396869
12,1.4684187473592347
13,1.467098361551482
14,1.4660588659976606
15,1.4667650643594563
16,1.4683042556700294
17,1.4700761209346354
18,1.470812222509645
19,1.4710662241664716
20,1.4716709719593641
21,1.4721110329354177
22,1.4723830164294691
23,1.4726094571055843
24,1.472962100124359
25,1.4735598774291572
26,1.4750082661237567
27,1.4779066261369733
28,1.4823923365204594
29,1.486157086505182
30,1.4897791529126467
31,1.4935137446964157
32,1.4970378786881453
33,1.4999363988759928
34,1.5017345431564373
35,1.5028353776144794
36,1.5042459204440006
37,1.5077090080363675
38,1.5139190648600456
39,1.5224562858907504
40,1.530244694702048
41,1.5388226221748627
42,1.54831454838058
43,1.5567310691340828
44,1.5646423887996934
45,1.5721708877601661
46,1.5797734748739751
47,1.587477952064667
48,1.5955774806085041
49,1.6079228211032226
50,1.6224655288208272
51,1.636784078137297
52,1.6567032751462423
53,1.6751582009406756
54,1.6867731605215
55,1.6998336128622298
56,1.717183572664112
57,1.7347414824482983
58,1.749104061284196
59,1.7618841112614614
60,1.780146127067134
61,1.8033071573251855
62,1.8300432325482368
63,1.8550782320730388
64,1.8800861173974348
65,1.9052531920155509
66,1.9294730585566722
67,1.9529513076353817
68,1.975597267995402
69,1.9976922699000685
70,2.019949247370474
71,2.0428554952454756
72,2.0650194196668457
73,2.0868027675615624
74,2.1083714228295727
75,2.1294121042938907
76,2.1492940568843855
77,2.1662729541568084
78,2.183282505941205
79,2.1957649289672263
80,2.2093779109478926
81,2.2246767067872923
82,2.247136409537122
83,2.2581657473835164
84,2.2634682030825872
85,2.2699404510308985
86,2.291882763264421
87,2.3190313619344494
88,2.3465822104667318
89,2.3639392620413564
90,2.3764589623223995
91,2.386547265658341
92,2.398161222666595
93,2.410887706439103
94,2.4242597843484956
95,2.437383120622765
